area,prob25_latency,prob50_latency,prob75_latency,uncertain_omitted_peakMean,uncertain_delivered_peakMean,uncertain_omitted_peakVar,uncertain_delivered_peakVar,prob25_slope,prob50_slope,prob75_slope
Basal Forebrain,148,153,165,70,108,125.082656881886,117.330018892581,-0.0322956830301285,-0.0893560474857202,-0.0451036735580692
Basal Forebrain,128,168,231,11,13,111.73405926574,102.009357859508,-0.123118735627198,-0.14474082126301,-0.118063166319743
Basal Forebrain,48,158,163,72,119,112.180137873571,66.1468977950749,0.0325779178108129,-0.0407567887094442,-0.0475783796849896
Basal Forebrain,105,68,36,-250,126,140.702393009831,106.384522683832,-0.0919810698071111,-0.0881391628056302,-0.0607763731940724
Basal Forebrain,221,221,275,111,-131,158.988855093544,117.943085547952,-0.0531329585210433,-0.0855096138182024,-0.100243786325227
Basal Forebrain,147,121,192,65,10,107.78111722732,97.5804261132301,-0.0902430198926278,-0.0528240837913703,-0.0466074818013735
Basal Forebrain,222,131,221,80,-62,138.020012351556,89.2551903868285,-0.036208425078662,-0.0847361359792183,-0.118905449157475
Basal Forebrain,3,154,104,5,-20,141.859378728843,87.9861731561651,-0.042440338855083,-0.0984058022358558,-0.0506524476586728
Basal Forebrain,183,243,287,-35,-14,102.085280093482,78.3453422167446,-0.0959821357771949,-0.117563611982532,-0.0900185278163046
Basal Forebrain,210,201,275,-86,-150,126.229536295327,105.367123758935,-0.187790830089032,-0.142643328555091,-0.147376973326682
Basal Forebrain,166,110,202,-125,69,123.819552327012,90.2429926409675,-0.162458885413057,-0.0933520503611338,-0.159101786852368
Basal Forebrain,152,174,169,97,-187,128.560638075337,134.886689381614,-0.175437925847644,-0.19634511515484,-0.14830782160967
Basal Forebrain,151,142,229,-242,-250,157.525328651194,159.156309234761,-0.0749665557625701,-0.0683859172810176,-0.0590778582902475
Basal Forebrain,105,110,143,81,52,135.726119613929,107.163918429224,-0.0560031064402246,-0.0625345884875235,-0.071135524610535
Basal Forebrain,95,175,135,77,57,105.396509631127,129.531213091035,-0.0918523008506671,-0.146047194486084,-0.162984244475749
Basal Forebrain,149,161,176,65,46,87.8818127514318,56.8354804326235,-0.175742750086293,-0.213264706318339,-0.217439042909452
Basal Forebrain,123,119,198,66,-164,139.690940043221,111.002688370133,-0.109392187515967,-0.119930597309336,-0.152622785651972
Basal Forebrain,99,162,171,34,58,91.7524204948658,100.770500845137,-0.0907305296179512,-0.11739300422639,-0.110322756692623
Basal Forebrain,125,156,209,17,55,117.035660141176,123.97860716858,-0.0936576334368864,-0.127755729153872,-0.14616536485663
Basal Forebrain,84,134,186,84,44,90.7949992238448,82.5284206645887,-0.051882540344082,-0.082118227729931,-0.105376455106567
Basal Forebrain,116,146,157,62,62,41.3160978677796,28.4734694327625,-0.279497573367357,-0.422778431730932,-0.389063840948264
